country,production_tonnes,reserves_tonnes,resources_tonnes
Bolivia,733,0,23000000
Argentina,18000,4000000,23000000
United States,2440,1800000,19000000
Chile,49000,9300000,11000000
Australia,88000,7000000,8900000
China,41000,3000000,6800000
Canada,4300,1200000,5700000
Germany,0,0,4000000
DR Congo,0,0,3000000
Mexico,0,0,1700000
Brazil,10000,390000,1300000
Czech Republic,0,0,1300000
Mali,0,0,1200000
Serbia,0,0,1200000
Peru,0,0,1000000
Russia,0,0,1000000
Zimbabwe,22000,480000,860000
Spain,0,0,320000
Portugal,380,60000,270000
Namibia,2700,14000,230000
Ghana,0,0,200000
Austria,0,0,60000
Finland,0,0,55000
Kazakhstan,0,0,45000
Nigeria,132,0,0
Other countries,0,2800000,0
